Subject,Description,Start Date,All Day Event,Private
Omer 49 (7 weeks),"היום תשעה וארבעים יום לעמר, שהם שבעה שבועות:",2064-05-20,True,False
Omer 1,היום יום אחד לעמר:,2065-04-22,True,False
Omer 2,היום שני ימים לעמר:,2065-04-23,True,False
Omer 3,היום שלשה ימים לעמר:,2065-04-24,True,False
Omer 4,היום ארבעה ימים לעמר:,2065-04-25,True,False
Omer 5,היום חמשה ימים לעמר:,2065-04-26,True,False
Omer 6,היום ששה ימים לעמר:,2065-04-27,True,False
Omer 7 (1 week),"היום שבעה ימים לעמר, שהם שבוע אחד:",2065-04-28,True,False
Omer 8 (1 week and 1 day),"היום שמונה ימים לעמר, שהם שבוע אחד ויום אחד:",2065-04-29,True,False
Omer 9 (1 week and 2 days),"היום תשעה ימים לעמר, שהם שבוע אחד ושני ימים:",2065-04-30,True,False
Omer 10 (1 week and 3 days),"היום עשרה ימים לעמר, שהם שבוע אחד ושלשה ימים:",2065-05-01,True,False
Omer 11 (1 week and 4 days),"היום אחד עשר יום לעמר, שהם שבוע אחד וארבעה ימים:",2065-05-02,True,False
Omer 12 (1 week and 5 days),"היום שנים עשר יום לעמר, שהם שבוע אחד וחמשה ימים:",2065-05-03,True,False
Omer 13 (1 week and 6 days),"היום שלשה עשר יום לעמר, שהם שבוע אחד וששה ימים:",2065-05-04,True,False
Omer 14 (2 weeks),"היום ארבעה עשר יום לעמר, שהם שני שבועות:",2065-05-05,True,False
Omer 15 (2 weeks and 1 day),"היום חמשה עשר יום לעמר, שהם שני שבועות ויום אחד:",2065-05-06,True,False
Omer 16 (2 weeks and 2 days),"היום ששה עשר יום לעמר, שהם שני שבועות ושני ימים:",2065-05-07,True,False
Omer 17 (2 weeks and 3 days),"היום שבעה עשר יום לעמר, שהם שני שבועות ושלשה ימים:",2065-05-08,True,False
Omer 18 (2 weeks and 4 days),"היום שמונה עשר יום לעמר, שהם שני שבועות וארבעה ימים:",2065-05-09,True,False
Omer 19 (2 weeks and 5 days),"היום תשעה עשר יום לעמר, שהם שני שבועות וחמשה ימים:",2065-05-10,True,False
Omer 20 (2 weeks and 6 days),"היום עשרים יום לעמר, שהם שני שבועות וששה ימים:",2065-05-11,True,False
Omer 21 (3 weeks),"היום אחד ועשרים יום לעמר, שהם שלשה שבועות:",2065-05-12,True,False
Omer 22 (3 weeks and 1 day),"היום שנים ועשרים יום לעמר, שהם שלשה שבועות ויום אחד:",2065-05-13,True,False
Omer 23 (3 weeks and 2 days),"היום שלשה ועשרים יום לעמר, שהם שלשה שבועות ושני ימים:",2065-05-14,True,False
Omer 24 (3 weeks and 3 days),"היום ארבעה ועשרים יום לעמר, שהם שלשה שבועות ושלשה ימים:",2065-05-15,True,False
Omer 25 (3 weeks and 4 days),"היום חמשה ועשרים יום לעמר, שהם שלשה שבועות וארבעה ימים:",2065-05-16,True,False
Omer 26 (3 weeks and 5 days),"היום ששה ועשרים יום לעמר, שהם שלשה שבועות וחמשה ימים:",2065-05-17,True,False
Omer 27 (3 weeks and 6 days),"היום שבעה ועשרים יום לעמר, שהם שלשה שבועות וששה ימים:",2065-05-18,True,False
Omer 28 (4 weeks),"היום שמונה ועשרים יום לעמר, שהם ארבעה שבועות:",2065-05-19,True,False
Omer 29 (4 weeks and 1 day),"היום תשעה ועשרים יום לעמר, שהם ארבעה שבועות ויום אחד:",2065-05-20,True,False
Omer 30 (4 weeks and 2 days),"היום שלשים יום לעמר, שהם ארבעה שבועות ושני ימים:",2065-05-21,True,False
Omer 31 (4 weeks and 3 days),"היום אחד ושלשים יום לעמר, שהם ארבעה שבועות ושלשה ימים:",2065-05-22,True,False
Omer 32 (4 weeks and 4 days),"היום שנים ושלשים יום לעמר, שהם ארבעה שבועות וארבעה ימים:",2065-05-23,True,False
Omer 33 (4 weeks and 5 days),"היום שלשה ושלשים יום לעמר, שהם ארבעה שבועות וחמשה ימים:",2065-05-24,True,False
Omer 34 (4 weeks and 6 days),"היום ארבעה ושלשים יום לעמר, שהם ארבעה שבועות וששה ימים:",2065-05-25,True,False
Omer 35 (5 weeks),"היום חמשה ושלשים יום לעמר, שהם חמשה שבועות:",2065-05-26,True,False
Omer 36 (5 weeks and 1 day),"היום ששה ושלשים יום לעמר, שהם חמשה שבועות ויום אחד:",2065-05-27,True,False
Omer 37 (5 weeks and 2 days),"היום שבעה ושלשים יום לעמר, שהם חמשה שבועות ושני ימים:",2065-05-28,True,False
Omer 38 (5 weeks and 3 days),"היום שמונה ושלשים יום לעמר, שהם חמשה שבועות ושלשה ימים:",2065-05-29,True,False
Omer 39 (5 weeks and 4 days),"היום תשעה ושלשים יום לעמר, שהם חמשה שבועות וארבעה ימים:",2065-05-30,True,False
Omer 40 (5 weeks and 5 days),"היום ארבעים יום לעמר, שהם חמשה שבועות וחמשה ימים:",2065-05-31,True,False
Omer 41 (5 weeks and 6 days),"היום אחד וארבעים יום לעמר, שהם חמשה שבועות וששה ימים:",2065-06-01,True,False
Omer 42 (6 weeks),"היום שנים וארבעים יום לעמר, שהם ששה שבועות:",2065-06-02,True,False
Omer 43 (6 weeks and 1 day),"היום שלשה וארבעים יום לעמר, שהם ששה שבועות ויום אחד:",2065-06-03,True,False
Omer 44 (6 weeks and 2 days),"היום ארבעה וארבעים יום לעמר, שהם ששה שבועות ושני ימים:",2065-06-04,True,False
Omer 45 (6 weeks and 3 days),"היום חמשה וארבעים יום לעמר, שהם ששה שבועות ושלשה ימים:",2065-06-05,True,False
Omer 46 (6 weeks and 4 days),"היום ששה וארבעים יום לעמר, שהם ששה שבועות וארבעה ימים:",2065-06-06,True,False
Omer 47 (6 weeks and 5 days),"היום שבעה וארבעים יום לעמר, שהם ששה שבועות וחמשה ימים:",2065-06-07,True,False
Omer 48 (6 weeks and 6 days),"היום שמונה וארבעים יום לעמר, שהם ששה שבועות וששה ימים:",2065-06-08,True,False
Omer 49 (7 weeks),"היום תשעה וארבעים יום לעמר, שהם שבעה שבועות:",2065-06-09,True,False
Omer 1,היום יום אחד לעמר:,2066-04-11,True,False
Omer 2,היום שני ימים לעמר:,2066-04-12,True,False
Omer 3,היום שלשה ימים לעמר:,2066-04-13,True,False
Omer 4,היום ארבעה ימים לעמר:,2066-04-14,True,False
Omer 5,היום חמשה ימים לעמר:,2066-04-15,True,False
Omer 6,היום ששה ימים לעמר:,2066-04-16,True,False
Omer 7 (1 week),"היום שבעה ימים לעמר, שהם שבוע אחד:",2066-04-17,True,False
Omer 8 (1 week and 1 day),"היום שמונה ימים לעמר, שהם שבוע אחד ויום אחד:",2066-04-18,True,False
Omer 9 (1 week and 2 days),"היום תשעה ימים לעמר, שהם שבוע אחד ושני ימים:",2066-04-19,True,False
Omer 10 (1 week and 3 days),"היום עשרה ימים לעמר, שהם שבוע אחד ושלשה ימים:",2066-04-20,True,False
Omer 11 (1 week and 4 days),"היום אחד עשר יום לעמר, שהם שבוע אחד וארבעה ימים:",2066-04-21,True,False
Omer 12 (1 week and 5 days),"היום שנים עשר יום לעמר, שהם שבוע אחד וחמשה ימים:",2066-04-22,True,False
Omer 13 (1 week and 6 days),"היום שלשה עשר יום לעמר, שהם שבוע אחד וששה ימים:",2066-04-23,True,False
Omer 14 (2 weeks),"היום ארבעה עשר יום לעמר, שהם שני שבועות:",2066-04-24,True,False
Omer 15 (2 weeks and 1 day),"היום חמשה עשר יום לעמר, שהם שני שבועות ויום אחד:",2066-04-25,True,False
Omer 16 (2 weeks and 2 days),"היום ששה עשר יום לעמר, שהם שני שבועות ושני ימים:",2066-04-26,True,False
Omer 17 (2 weeks and 3 days),"היום שבעה עשר יום לעמר, שהם שני שבועות ושלשה ימים:",2066-04-27,True,False
Omer 18 (2 weeks and 4 days),"היום שמונה עשר יום לעמר, שהם שני שבועות וארבעה ימים:",2066-04-28,True,False
Omer 19 (2 weeks and 5 days),"היום תשעה עשר יום לעמר, שהם שני שבועות וחמשה ימים:",2066-04-29,True,False
Omer 20 (2 weeks and 6 days),"היום עשרים יום לעמר, שהם שני שבועות וששה ימים:",2066-04-30,True,False
Omer 21 (3 weeks),"היום אחד ועשרים יום לעמר, שהם שלשה שבועות:",2066-05-01,True,False
Omer 22 (3 weeks and 1 day),"היום שנים ועשרים יום לעמר, שהם שלשה שבועות ויום אחד:",2066-05-02,True,False
Omer 23 (3 weeks and 2 days),"היום שלשה ועשרים יום לעמר, שהם שלשה שבועות ושני ימים:",2066-05-03,True,False
Omer 24 (3 weeks and 3 days),"היום ארבעה ועשרים יום לעמר, שהם שלשה שבועות ושלשה ימים:",2066-05-04,True,False
Omer 25 (3 weeks and 4 days),"היום חמשה ועשרים יום לעמר, שהם שלשה שבועות וארבעה ימים:",2066-05-05,True,False
Omer 26 (3 weeks and 5 days),"היום ששה ועשרים יום לעמר, שהם שלשה שבועות וחמשה ימים:",2066-05-06,True,False
Omer 27 (3 weeks and 6 days),"היום שבעה ועשרים יום לעמר, שהם שלשה שבועות וששה ימים:",2066-05-07,True,False
Omer 28 (4 weeks),"היום שמונה ועשרים יום לעמר, שהם ארבעה שבועות:",2066-05-08,True,False
Omer 29 (4 weeks and 1 day),"היום תשעה ועשרים יום לעמר, שהם ארבעה שבועות ויום אחד:",2066-05-09,True,False
Omer 30 (4 weeks and 2 days),"היום שלשים יום לעמר, שהם ארבעה שבועות ושני ימים:",2066-05-10,True,False
Omer 31 (4 weeks and 3 days),"היום אחד ושלשים יום לעמר, שהם ארבעה שבועות ושלשה ימים:",2066-05-11,True,False
Omer 32 (4 weeks and 4 days),"היום שנים ושלשים יום לעמר, שהם ארבעה שבועות וארבעה ימים:",2066-05-12,True,False
Omer 33 (4 weeks and 5 days),"היום שלשה ושלשים יום לעמר, שהם ארבעה שבועות וחמשה ימים:",2066-05-13,True,False
Omer 34 (4 weeks and 6 days),"היום ארבעה ושלשים יום לעמר, שהם ארבעה שבועות וששה ימים:",2066-05-14,True,False
Omer 35 (5 weeks),"היום חמשה ושלשים יום לעמר, שהם חמשה שבועות:",2066-05-15,True,False
Omer 36 (5 weeks and 1 day),"היום ששה ושלשים יום לעמר, שהם חמשה שבועות ויום אחד:",2066-05-16,True,False
Omer 37 (5 weeks and 2 days),"היום שבעה ושלשים יום לעמר, שהם חמשה שבועות ושני ימים:",2066-05-17,True,False
Omer 38 (5 weeks and 3 days),"היום שמונה ושלשים יום לעמר, שהם חמשה שבועות ושלשה ימים:",2066-05-18,True,False
Omer 39 (5 weeks and 4 days),"היום תשעה ושלשים יום לעמר, שהם חמשה שבועות וארבעה ימים:",2066-05-19,True,False
Omer 40 (5 weeks and 5 days),"היום ארבעים יום לעמר, שהם חמשה שבועות וחמשה ימים:",2066-05-20,True,False
Omer 41 (5 weeks and 6 days),"היום אחד וארבעים יום לעמר, שהם חמשה שבועות וששה ימים:",2066-05-21,True,False
Omer 42 (6 weeks),"היום שנים וארבעים יום לעמר, שהם ששה שבועות:",2066-05-22,True,False
Omer 43 (6 weeks and 1 day),"היום שלשה וארבעים יום לעמר, שהם ששה שבועות ויום אחד:",2066-05-23,True,False
Omer 44 (6 weeks and 2 days),"היום ארבעה וארבעים יום לעמר, שהם ששה שבועות ושני ימים:",2066-05-24,True,False
Omer 45 (6 weeks and 3 days),"היום חמשה וארבעים יום לעמר, שהם ששה שבועות ושלשה ימים:",2066-05-25,True,False
Omer 46 (6 weeks and 4 days),"היום ששה וארבעים יום לעמר, שהם ששה שבועות וארבעה ימים:",2066-05-26,True,False
Omer 47 (6 weeks and 5 days),"היום שבעה וארבעים יום לעמר, שהם ששה שבועות וחמשה ימים:",2066-05-27,True,False
Omer 48 (6 weeks and 6 days),"היום שמונה וארבעים יום לעמר, שהם ששה שבועות וששה ימים:",2066-05-28,True,False
Omer 49 (7 weeks),"היום תשעה וארבעים יום לעמר, שהם שבעה שבועות:",2066-05-29,True,False
Omer 1,היום יום אחד לעמר:,2067-04-01,True,False
Omer 2,היום שני ימים לעמר:,2067-04-02,True,False
Omer 3,היום שלשה ימים לעמר:,2067-04-03,True,False
Omer 4,היום ארבעה ימים לעמר:,2067-04-04,True,False
Omer 5,היום חמשה ימים לעמר:,2067-04-05,True,False
Omer 6,היום ששה ימים לעמר:,2067-04-06,True,False
Omer 7 (1 week),"היום שבעה ימים לעמר, שהם שבוע אחד:",2067-04-07,True,False
Omer 8 (1 week and 1 day),"היום שמונה ימים לעמר, שהם שבוע אחד ויום אחד:",2067-04-08,True,False
Omer 9 (1 week and 2 days),"היום תשעה ימים לעמר, שהם שבוע אחד ושני ימים:",2067-04-09,True,False
Omer 10 (1 week and 3 days),"היום עשרה ימים לעמר, שהם שבוע אחד ושלשה ימים:",2067-04-10,True,False
Omer 11 (1 week and 4 days),"היום אחד עשר יום לעמר, שהם שבוע אחד וארבעה ימים:",2067-04-11,True,False
Omer 12 (1 week and 5 days),"היום שנים עשר יום לעמר, שהם שבוע אחד וחמשה ימים:",2067-04-12,True,False
Omer 13 (1 week and 6 days),"היום שלשה עשר יום לעמר, שהם שבוע אחד וששה ימים:",2067-04-13,True,False
Omer 14 (2 weeks),"היום ארבעה עשר יום לעמר, שהם שני שבועות:",2067-04-14,True,False
Omer 15 (2 weeks and 1 day),"היום חמשה עשר יום לעמר, שהם שני שבועות ויום אחד:",2067-04-15,True,False
Omer 16 (2 weeks and 2 days),"היום ששה עשר יום לעמר, שהם שני שבועות ושני ימים:",2067-04-16,True,False
Omer 17 (2 weeks and 3 days),"היום שבעה עשר יום לעמר, שהם שני שבועות ושלשה ימים:",2067-04-17,True,False
Omer 18 (2 weeks and 4 days),"היום שמונה עשר יום לעמר, שהם שני שבועות וארבעה ימים:",2067-04-18,True,False
Omer 19 (2 weeks and 5 days),"היום תשעה עשר יום לעמר, שהם שני שבועות וחמשה ימים:",2067-04-19,True,False
Omer 20 (2 weeks and 6 days),"היום עשרים יום לעמר, שהם שני שבועות וששה ימים:",2067-04-20,True,False
Omer 21 (3 weeks),"היום אחד ועשרים יום לעמר, שהם שלשה שבועות:",2067-04-21,True,False
Omer 22 (3 weeks and 1 day),"היום שנים ועשרים יום לעמר, שהם שלשה שבועות ויום אחד:",2067-04-22,True,False
Omer 23 (3 weeks and 2 days),"היום שלשה ועשרים יום לעמר, שהם שלשה שבועות ושני ימים:",2067-04-23,True,False
Omer 24 (3 weeks and 3 days),"היום ארבעה ועשרים יום לעמר, שהם שלשה שבועות ושלשה ימים:",2067-04-24,True,False
Omer 25 (3 weeks and 4 days),"היום חמשה ועשרים יום לעמר, שהם שלשה שבועות וארבעה ימים:",2067-04-25,True,False
Omer 26 (3 weeks and 5 days),"היום ששה ועשרים יום לעמר, שהם שלשה שבועות וחמשה ימים:",2067-04-26,True,False
Omer 27 (3 weeks and 6 days),"היום שבעה ועשרים יום לעמר, שהם שלשה שבועות וששה ימים:",2067-04-27,True,False
Omer 28 (4 weeks),"היום שמונה ועשרים יום לעמר, שהם ארבעה שבועות:",2067-04-28,True,False
Omer 29 (4 weeks and 1 day),"היום תשעה ועשרים יום לעמר, שהם ארבעה שבועות ויום אחד:",2067-04-29,True,False
Omer 30 (4 weeks and 2 days),"היום שלשים יום לעמר, שהם ארבעה שבועות ושני ימים:",2067-04-30,True,False
Omer 31 (4 weeks and 3 days),"היום אחד ושלשים יום לעמר, שהם ארבעה שבועות ושלשה ימים:",2067-05-01,True,False
Omer 32 (4 weeks and 4 days),"היום שנים ושלשים יום לעמר, שהם ארבעה שבועות וארבעה ימים:",2067-05-02,True,False
Omer 33 (4 weeks and 5 days),"היום שלשה ושלשים יום לעמר, שהם ארבעה שבועות וחמשה ימים:",2067-05-03,True,False
Omer 34 (4 weeks and 6 days),"היום ארבעה ושלשים יום לעמר, שהם ארבעה שבועות וששה ימים:",2067-05-04,True,False
Omer 35 (5 weeks),"היום חמשה ושלשים יום לעמר, שהם חמשה שבועות:",2067-05-05,True,False
Omer 36 (5 weeks and 1 day),"היום ששה ושלשים יום לעמר, שהם חמשה שבועות ויום אחד:",2067-05-06,True,False
Omer 37 (5 weeks and 2 days),"היום שבעה ושלשים יום לעמר, שהם חמשה שבועות ושני ימים:",2067-05-07,True,False
Omer 38 (5 weeks and 3 days),"היום שמונה ושלשים יום לעמר, שהם חמשה שבועות ושלשה ימים:",2067-05-08,True,False
Omer 39 (5 weeks and 4 days),"היום תשעה ושלשים יום לעמר, שהם חמשה שבועות וארבעה ימים:",2067-05-09,True,False
Omer 40 (5 weeks and 5 days),"היום ארבעים יום לעמר, שהם חמשה שבועות וחמשה ימים:",2067-05-10,True,False
Omer 41 (5 weeks and 6 days),"היום אחד וארבעים יום לעמר, שהם חמשה שבועות וששה ימים:",2067-05-11,True,False
Omer 42 (6 weeks),"היום שנים וארבעים יום לעמר, שהם ששה שבועות:",2067-05-12,True,False
Omer 43 (6 weeks and 1 day),"היום שלשה וארבעים יום לעמר, שהם ששה שבועות ויום אחד:",2067-05-13,True,False
Omer 44 (6 weeks and 2 days),"היום ארבעה וארבעים יום לעמר, שהם ששה שבועות ושני ימים:",2067-05-14,True,False
Omer 45 (6 weeks and 3 days),"היום חמשה וארבעים יום לעמר, שהם ששה שבועות ושלשה ימים:",2067-05-15,True,False
Omer 46 (6 weeks and 4 days),"היום ששה וארבעים יום לעמר, שהם ששה שבועות וארבעה ימים:",2067-05-16,True,False
Omer 47 (6 weeks and 5 days),"היום שבעה וארבעים יום לעמר, שהם ששה שבועות וחמשה ימים:",2067-05-17,True,False
Omer 48 (6 weeks and 6 days),"היום שמונה וארבעים יום לעמר, שהם ששה שבועות וששה ימים:",2067-05-18,True,False
Omer 49 (7 weeks),"היום תשעה וארבעים יום לעמר, שהם שבעה שבועות:",2067-05-19,True,False
Omer 1,היום יום אחד לעמר:,2068-04-18,True,False
Omer 2,היום שני ימים לעמר:,2068-04-19,True,False
Omer 3,היום שלשה ימים לעמר:,2068-04-20,True,False
Omer 4,היום ארבעה ימים לעמר:,2068-04-21,True,False
Omer 5,היום חמשה ימים לעמר:,2068-04-22,True,False
Omer 6,היום ששה ימים לעמר:,2068-04-23,True,False
Omer 7 (1 week),"היום שבעה ימים לעמר, שהם שבוע אחד:",2068-04-24,True,False
Omer 8 (1 week and 1 day),"היום שמונה ימים לעמר, שהם שבוע אחד ויום אחד:",2068-04-25,True,False
Omer 9 (1 week and 2 days),"היום תשעה ימים לעמר, שהם שבוע אחד ושני ימים:",2068-04-26,True,False
Omer 10 (1 week and 3 days),"היום עשרה ימים לעמר, שהם שבוע אחד ושלשה ימים:",2068-04-27,True,False
Omer 11 (1 week and 4 days),"היום אחד עשר יום לעמר, שהם שבוע אחד וארבעה ימים:",2068-04-28,True,False
Omer 12 (1 week and 5 days),"היום שנים עשר יום לעמר, שהם שבוע אחד וחמשה ימים:",2068-04-29,True,False
Omer 13 (1 week and 6 days),"היום שלשה עשר יום לעמר, שהם שבוע אחד וששה ימים:",2068-04-30,True,False
Omer 14 (2 weeks),"היום ארבעה עשר יום לעמר, שהם שני שבועות:",2068-05-01,True,False
Omer 15 (2 weeks and 1 day),"היום חמשה עשר יום לעמר, שהם שני שבועות ויום אחד:",2068-05-02,True,False
Omer 16 (2 weeks and 2 days),"היום ששה עשר יום לעמר, שהם שני שבועות ושני ימים:",2068-05-03,True,False
Omer 17 (2 weeks and 3 days),"היום שבעה עשר יום לעמר, שהם שני שבועות ושלשה ימים:",2068-05-04,True,False
Omer 18 (2 weeks and 4 days),"היום שמונה עשר יום לעמר, שהם שני שבועות וארבעה ימים:",2068-05-05,True,False
Omer 19 (2 weeks and 5 days),"היום תשעה עשר יום לעמר, שהם שני שבועות וחמשה ימים:",2068-05-06,True,False
Omer 20 (2 weeks and 6 days),"היום עשרים יום לעמר, שהם שני שבועות וששה ימים:",2068-05-07,True,False
Omer 21 (3 weeks),"היום אחד ועשרים יום לעמר, שהם שלשה שבועות:",2068-05-08,True,False
Omer 22 (3 weeks and 1 day),"היום שנים ועשרים יום לעמר, שהם שלשה שבועות ויום אחד:",2068-05-09,True,False
Omer 23 (3 weeks and 2 days),"היום שלשה ועשרים יום לעמר, שהם שלשה שבועות ושני ימים:",2068-05-10,True,False
Omer 24 (3 weeks and 3 days),"היום ארבעה ועשרים יום לעמר, שהם שלשה שבועות ושלשה ימים:",2068-05-11,True,False
Omer 25 (3 weeks and 4 days),"היום חמשה ועשרים יום לעמר, שהם שלשה שבועות וארבעה ימים:",2068-05-12,True,False
Omer 26 (3 weeks and 5 days),"היום ששה ועשרים יום לעמר, שהם שלשה שבועות וחמשה ימים:",2068-05-13,True,False
Omer 27 (3 weeks and 6 days),"היום שבעה ועשרים יום לעמר, שהם שלשה שבועות וששה ימים:",2068-05-14,True,False
Omer 28 (4 weeks),"היום שמונה ועשרים יום לעמר, שהם ארבעה שבועות:",2068-05-15,True,False
Omer 29 (4 weeks and 1 day),"היום תשעה ועשרים יום לעמר, שהם ארבעה שבועות ויום אחד:",2068-05-16,True,False
Omer 30 (4 weeks and 2 days),"היום שלשים יום לעמר, שהם ארבעה שבועות ושני ימים:",2068-05-17,True,False
Omer 31 (4 weeks and 3 days),"היום אחד ושלשים יום לעמר, שהם ארבעה שבועות ושלשה ימים:",2068-05-18,True,False
Omer 32 (4 weeks and 4 days),"היום שנים ושלשים יום לעמר, שהם ארבעה שבועות וארבעה ימים:",2068-05-19,True,False
Omer 33 (4 weeks and 5 days),"היום שלשה ושלשים יום לעמר, שהם ארבעה שבועות וחמשה ימים:",2068-05-20,True,False
Omer 34 (4 weeks and 6 days),"היום ארבעה ושלשים יום לעמר, שהם ארבעה שבועות וששה ימים:",2068-05-21,True,False
Omer 35 (5 weeks),"היום חמשה ושלשים יום לעמר, שהם חמשה שבועות:",2068-05-22,True,False
Omer 36 (5 weeks and 1 day),"היום ששה ושלשים יום לעמר, שהם חמשה שבועות ויום אחד:",2068-05-23,True,False
Omer 37 (5 weeks and 2 days),"היום שבעה ושלשים יום לעמר, שהם חמשה שבועות ושני ימים:",2068-05-24,True,False
Omer 38 (5 weeks and 3 days),"היום שמונה ושלשים יום לעמר, שהם חמשה שבועות ושלשה ימים:",2068-05-25,True,False
Omer 39 (5 weeks and 4 days),"היום תשעה ושלשים יום לעמר, שהם חמשה שבועות וארבעה ימים:",2068-05-26,True,False
Omer 40 (5 weeks and 5 days),"היום ארבעים יום לעמר, שהם חמשה שבועות וחמשה ימים:",2068-05-27,True,False
Omer 41 (5 weeks and 6 days),"היום אחד וארבעים יום לעמר, שהם חמשה שבועות וששה ימים:",2068-05-28,True,False
Omer 42 (6 weeks),"היום שנים וארבעים יום לעמר, שהם ששה שבועות:",2068-05-29,True,False
Omer 43 (6 weeks and 1 day),"היום שלשה וארבעים יום לעמר, שהם ששה שבועות ויום אחד:",2068-05-30,True,False
Omer 44 (6 weeks and 2 days),"היום ארבעה וארבעים יום לעמר, שהם ששה שבועות ושני ימים:",2068-05-31,True,False
Omer 45 (6 weeks and 3 days),"היום חמשה וארבעים יום לעמר, שהם ששה שבועות ושלשה ימים:",2068-06-01,True,False
Omer 46 (6 weeks and 4 days),"היום ששה וארבעים יום לעמר, שהם ששה שבועות וארבעה ימים:",2068-06-02,True,False
Omer 47 (6 weeks and 5 days),"היום שבעה וארבעים יום לעמר, שהם ששה שבועות וחמשה ימים:",2068-06-03,True,False
Omer 48 (6 weeks and 6 days),"היום שמונה וארבעים יום לעמר, שהם ששה שבועות וששה ימים:",2068-06-04,True,False
Omer 49 (7 weeks),"היום תשעה וארבעים יום לעמר, שהם שבעה שבועות:",2068-06-05,True,False
Omer 1,היום יום אחד לעמר:,2069-04-07,True,False
Omer 2,היום שני ימים לעמר:,2069-04-08,True,False
Omer 3,היום שלשה ימים לעמר:,2069-04-09,True,False
Omer 4,היום ארבעה ימים לעמר:,2069-04-10,True,False
Omer 5,היום חמשה ימים לעמר:,2069-04-11,True,False
Omer 6,היום ששה ימים לעמר:,2069-04-12,True,False
Omer 7 (1 week),"היום שבעה ימים לעמר, שהם שבוע אחד:",2069-04-13,True,False
Omer 8 (1 week and 1 day),"היום שמונה ימים לעמר, שהם שבוע אחד ויום אחד:",2069-04-14,True,False
Omer 9 (1 week and 2 days),"היום תשעה ימים לעמר, שהם שבוע אחד ושני ימים:",2069-04-15,True,False
Omer 10 (1 week and 3 days),"היום עשרה ימים לעמר, שהם שבוע אחד ושלשה ימים:",2069-04-16,True,False
Omer 11 (1 week and 4 days),"היום אחד עשר יום לעמר, שהם שבוע אחד וארבעה ימים:",2069-04-17,True,False
Omer 12 (1 week and 5 days),"היום שנים עשר יום לעמר, שהם שבוע אחד וחמשה ימים:",2069-04-18,True,False
Omer 13 (1 week and 6 days),"היום שלשה עשר יום לעמר, שהם שבוע אחד וששה ימים:",2069-04-19,True,False
Omer 14 (2 weeks),"היום ארבעה עשר יום לעמר, שהם שני שבועות:",2069-04-20,True,False
Omer 15 (2 weeks and 1 day),"היום חמשה עשר יום לעמר, שהם שני שבועות ויום אחד:",2069-04-21,True,False
Omer 16 (2 weeks and 2 days),"היום ששה עשר יום לעמר, שהם שני שבועות ושני ימים:",2069-04-22,True,False
Omer 17 (2 weeks and 3 days),"היום שבעה עשר יום לעמר, שהם שני שבועות ושלשה ימים:",2069-04-23,True,False
Omer 18 (2 weeks and 4 days),"היום שמונה עשר יום לעמר, שהם שני שבועות וארבעה ימים:",2069-04-24,True,False
Omer 19 (2 weeks and 5 days),"היום תשעה עשר יום לעמר, שהם שני שבועות וחמשה ימים:",2069-04-25,True,False
Omer 20 (2 weeks and 6 days),"היום עשרים יום לעמר, שהם שני שבועות וששה ימים:",2069-04-26,True,False
Omer 21 (3 weeks),"היום אחד ועשרים יום לעמר, שהם שלשה שבועות:",2069-04-27,True,False
Omer 22 (3 weeks and 1 day),"היום שנים ועשרים יום לעמר, שהם שלשה שבועות ויום אחד:",2069-04-28,True,False
Omer 23 (3 weeks and 2 days),"היום שלשה ועשרים יום לעמר, שהם שלשה שבועות ושני ימים:",2069-04-29,True,False
Omer 24 (3 weeks and 3 days),"היום ארבעה ועשרים יום לעמר, שהם שלשה שבועות ושלשה ימים:",2069-04-30,True,False
Omer 25 (3 weeks and 4 days),"היום חמשה ועשרים יום לעמר, שהם שלשה שבועות וארבעה ימים:",2069-05-01,True,False
Omer 26 (3 weeks and 5 days),"היום ששה ועשרים יום לעמר, שהם שלשה שבועות וחמשה ימים:",2069-05-02,True,False
Omer 27 (3 weeks and 6 days),"היום שבעה ועשרים יום לעמר, שהם שלשה שבועות וששה ימים:",2069-05-03,True,False
Omer 28 (4 weeks),"היום שמונה ועשרים יום לעמר, שהם ארבעה שבועות:",2069-05-04,True,False
Omer 29 (4 weeks and 1 day),"היום תשעה ועשרים יום לעמר, שהם ארבעה שבועות ויום אחד:",2069-05-05,True,False
Omer 30 (4 weeks and 2 days),"היום שלשים יום לעמר, שהם ארבעה שבועות ושני ימים:",2069-05-06,True,False
Omer 31 (4 weeks and 3 days),"היום אחד ושלשים יום לעמר, שהם ארבעה שבועות ושלשה ימים:",2069-05-07,True,False
Omer 32 (4 weeks and 4 days),"היום שנים ושלשים יום לעמר, שהם ארבעה שבועות וארבעה ימים:",2069-05-08,True,False
Omer 33 (4 weeks and 5 days),"היום שלשה ושלשים יום לעמר, שהם ארבעה שבועות וחמשה ימים:",2069-05-09,True,False
Omer 34 (4 weeks and 6 days),"היום ארבעה ושלשים יום לעמר, שהם ארבעה שבועות וששה ימים:",2069-05-10,True,False
Omer 35 (5 weeks),"היום חמשה ושלשים יום לעמר, שהם חמשה שבועות:",2069-05-11,True,False
Omer 36 (5 weeks and 1 day),"היום ששה ושלשים יום לעמר, שהם חמשה שבועות ויום אחד:",2069-05-12,True,False
Omer 37 (5 weeks and 2 days),"היום שבעה ושלשים יום לעמר, שהם חמשה שבועות ושני ימים:",2069-05-13,True,False
